case_id,a,critical_load
3,0.015,-238.295465878
3,0.018,-165.708273244
3,0.021,-121.912870183
3,0.024,-93.4698353076
3,0.027,-73.9568677282
3,0.03,-59.9903583704
3,0.033,-49.6500793826
3,0.036,-41.7803692777
3,0.039,-35.6519382174
3,0.042,-30.7861175504
3,0.045,-26.8580294777
3,0.048,-23.6413395508
3,0.051,-20.973616195
3,0.054,-18.7361120229
3,0.057,-16.8417322654
3,0.06,-15.2234981073
3,0.063,-13.8296751682
3,0.066,-12.6209626453
3,0.069,-11.5657958499
3,0.072,-10.639181458
3,0.075,-9.82112418751
3,0.078,-9.09498091039
3,0.081,-8.44771796583
3,0.084,-7.86820738081
3,0.087,-7.34729296791
3,0.09,-6.87739013129
3,0.093,-6.45183130498
3,0.096,-6.06538206427
3,0.099,-5.71332458434
3,0.102,-5.39168644681
3,0.105,-5.09710860245
3,0.108,-4.8264776598
3,0.111,-4.57740364766
3,0.114,-4.34760673294
3,0.117,-4.13514319447
3,0.12,-3.93835255938
3,0.123,-3.75560349892
3,0.126,-3.58570412426
3,0.129,-3.42743859663
3,0.132,-3.27976631252
3,0.135,-3.14179731159
3,0.138,-3.0125945021
3,0.141,-2.89152733726
3,0.144,-2.77789488356
3,0.147,-2.67109973752
3,0.15,-2.57063516391
3,0.153,-2.47591972964
3,0.156,-2.38660839822
3,0.159,-2.30227031322
3,0.162,-2.22254283341
3,0.165,-2.14712418177
3,0.168,-2.07562848778
3,0.171,-2.007865786
3,0.174,-1.94355630523
3,0.177,-1.88246964762
3,0.18,-1.82442031922
3,0.183,-1.76913624098
3,0.186,-1.71651640678
3,0.189,-1.66637011259
3,0.192,-1.61854532365
3,0.195,-1.57292586388
3,0.198,-1.5293089067
3,0.201,-1.4876469928
3,0.204,-1.44780422842
3,0.207,-1.40967702725
3,0.21,-1.37319234509
3,0.213,-1.3381909643
3,0.216,-1.3046591602
3,0.219,-1.27249596629
3,0.222,-1.24162885136
3,0.225,-1.21201267362
3,0.228,-1.18351630286
3,0.231,-1.15614830177
3,0.234,-1.12983057874
3,0.237,-1.1045111385
3,0.24,-1.08016357801
3,0.243,-1.05667499956
3,0.246,-1.03406951187
3,0.249,-1.01228429802
3,0.252,-0.991281317312
3,0.255,-0.971047248096
3,0.258,-0.95148085193
3,0.261,-0.932617815245
3,0.264,-0.914405617875
3,0.267,-0.896815932696
3,0.27,-0.87984497208
3,0.273,-0.863398524682
3,0.276,-0.847521603735
3,0.279,-0.832168595567
3,0.282,-0.81731808243
