case_id,a,critical_load
7,0.015,-0.262750459347
7,0.018,-0.265107228013
7,0.021,-0.267999389709
7,0.024,-0.271287806296
7,0.027,-0.274969774508
7,0.03,-0.279121752197
7,0.033,-0.283512595906
7,0.036,-0.288392489976
7,0.039,-0.293680723521
7,0.042,-0.299409536753
7,0.045,-0.305573165327
7,0.048,-0.312214597752
7,0.051,-0.319334604094
7,0.054,-0.32697254718
7,0.057,-0.335151902246
7,0.06,-0.343888011555
7,0.063,-0.353265179028
7,0.066,-0.363284924757
7,0.069,-0.373996881072
7,0.072,-0.385451822964
7,0.075,-0.397650617891
7,0.078,-0.410812744633
7,0.081,-0.424837224495
7,0.084,-0.439843120212
7,0.087,-0.455899853576
7,0.09,-0.47293086059
7,0.093,-0.491426655872
7,0.096,-0.511042137013
7,0.099,-0.531941102739
7,0.102,-0.553657534676
7,0.105,-0.57739456485
7,0.108,-0.601946652167
7,0.111,-0.627777962738
7,0.114,-0.654404073596
7,0.117,-0.68132568463
7,0.12,-0.707881318637
7,0.123,-0.732713288566
7,0.126,-0.754514306063
7,0.129,-0.771071546524
7,0.132,-0.780160570989
7,0.135,-0.77755636748
7,0.138,-0.76054421298
7,0.141,-0.726071763292
7,0.144,-0.672597845309
7,0.147,-0.600351953973
7,0.15,-0.513584100042
7,0.153,-0.599956084322
7,0.156,-0.671945408918
7,0.159,-0.725604206326
7,0.162,-0.760222280661
7,0.165,-0.777474318736
7,0.168,-0.780119548158
7,0.171,-0.771167336327
7,0.174,-0.754724252473
7,0.177,-0.732913024582
7,0.18,-0.707971936952
7,0.183,-0.681520351296
7,0.186,-0.654614413152
7,0.189,-0.628010264541
7,0.192,-0.602204294644
7,0.195,-0.577462566278
7,0.198,-0.55388757566
7,0.201,-0.531633874684
7,0.204,-0.51069893762
7,0.207,-0.491049863858
7,0.21,-0.472951620197
7,0.213,-0.455964113388
7,0.216,-0.439881888474
7,0.219,-0.424852846032
7,0.222,-0.410807570927
7,0.225,-0.397635305642
7,0.228,-0.385411237689
7,0.231,-0.373941320107
7,0.234,-0.363215992092
7,0.237,-0.353184277811
7,0.24,-0.343848500023
7,0.243,-0.335050596659
7,0.246,-0.326862653453
7,0.249,-0.319216974779
7,0.252,-0.312090073097
7,0.255,-0.305531262908
7,0.258,-0.299273217303
7,0.261,-0.293539538298
7,0.264,-0.288246908232
7,0.267,-0.283363100276
7,0.27,-0.279108590923
7,0.273,-0.27481351932
7,0.276,-0.271129153925
7,0.279,-0.267838447675
7,0.282,-0.264944369202
